,Date,repo,pulls_count, issue_comment_count, issues_count, review_comments_count, comments_count, commits_count,events_count, issue_events_count, releases_count, tags_count,contributors_count,,,,,
Data for presentation:,06/26/11 12:00 AM,addon-sdk,0,52,0,0,0,0,0,0,0,0,11,,,,,
Data for presentation:,06/26/11 12:00 AM,openwebapps,0,12,0,0,0,0,0,0,0,0,5,,,,,
Data for presentation:,06/26/11 12:00 AM,doctorjs,0,23,3,0,0,0,0,0,0,0,7,,,,,
Data for presentation:,06/26/11 12:00 AM,moz-grid-config,0,1,0,0,0,0,0,0,0,0,1,,,,,
Data for presentation:,06/26/11 12:00 AM,browserid_addon,0,2,1,0,0,0,0,0,0,0,1,,,,,
Data for presentation:,06/26/11 12:00 AM,mozillians,0,4,0,0,6,0,0,0,0,0,5,,,,,
Data for presentation:,06/26/11 12:00 AM,funfactory,0,0,0,0,1,0,0,0,0,0,1,,,,,
Data for presentation:,06/26/11 12:00 AM,gcli,0,0,0,0,14,0,0,0,0,0,2,,,,,
Data for presentation:,06/26/11 12:00 AM,zamboni,0,15,0,0,167,0,0,0,0,0,13,,,,,
Data for presentation:,06/26/11 12:00 AM,input-tests,0,12,0,0,0,0,0,0,0,0,3,,,,,
Data for presentation:,07/26/11 12:00 AM,f1,0,4,0,0,0,0,0,0,0,0,2,,,,,
Data for presentation:,07/26/11 12:00 AM,pytest-mozwebqa,0,1,0,0,3,0,0,0,0,0,2,,,,,
Data for presentation:,07/26/11 12:00 AM,dryice,0,1,0,0,0,0,0,0,0,0,1,,,,,
Data for presentation:,07/26/11 12:00 AM,pdf.js,0,176,0,0,1,0,0,0,0,0,16,,,,,
Data for presentation:,07/26/11 12:00 AM,elasticutils,0,2,0,0,0,0,0,0,0,0,1,,,,,
Data for presentation:,07/26/11 12:00 AM,input.mozilla.org,0,4,0,0,7,0,0,0,0,0,4,,,,,
Data for presentation:,07/26/11 12:00 AM,narcissus,0,3,0,0,0,0,0,0,0,0,2,,,,,
Data for presentation:,07/26/11 12:00 AM,amo-validator,0,14,0,0,1,0,0,0,0,0,5,,,,,
Data for presentation:,07/26/11 12:00 AM,rhino,1,4,1,0,1,0,0,0,0,0,5,,,,,
Data for presentation:,07/26/11 12:00 AM,betafarm,0,10,0,0,3,0,0,0,0,0,3,,,,,
Data for presentation:,07/26/11 12:00 AM,rainbow,0,1,0,0,0,0,0,0,0,0,1,,,,,
Data for presentation:,07/26/11 12:00 AM,Addon-Tests,0,104,0,0,1,0,0,0,0,0,13,,,,,
Data for presentation:,07/26/11 12:00 AM,sumo-tests,0,5,0,0,0,0,0,0,0,0,4,,,,,
Data for presentation:,07/26/11 12:00 AM,openwebapps,0,7,0,0,3,0,0,0,0,0,5,,,,,
Data for presentation:,07/26/11 12:00 AM,bedrock,0,0,0,0,1,0,0,0,0,0,1,,,,,
